db_id,gold_sql,question,query_toks,query_toks_no_value,question_toks,model_1_sql,model_2_sql,exact_m1,exact_m2,exec_m1,exec_m2
concert_singer,SELECT count(*) FROM singer,How many singers do we have?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['How', 'many', 'singers', 'do', 'we', 'have', '?']","singer(name, country, age) Question: How many singers do we have?",How many singers do we have?,False,False,0,0
concert_singer,SELECT count(*) FROM singer,What is the total number of singers?,"['SELECT', 'count', '(', '*', ')', 'FROM', 'singer']","['select', 'count', '(', '*', ')', 'from', 'singer']","['What', 'is', 'the', 'total', 'number', 'of', 'singers', '?']","singer(name, country, age) Question: What is the total number of singers?",What is the total number of singers?,False,False,0,0
concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","Show name, country, age for all singers ordered by age from the oldest to the youngest.","['SELECT', 'name', ',', 'country', ',', 'age', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'DESC']","['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","['Show', 'name', ',', 'country', ',', 'age', 'for', 'all', 'singers', 'ordered', 'by', 'age', 'from', 'the', 'oldest', 'to', 'the', 'youngest', '.']","singer(name, country, age) Question: Show name, country, age","Show name, country, age for all singers ordered by age from the oldest to the youngest.",False,False,0,0
concert_singer,"SELECT name ,  country ,  age FROM singer ORDER BY age DESC","What are the names, countries, and ages for every singer in descending order of age?","['SELECT', 'name', ',', 'country', ',', 'age', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'DESC']","['select', 'name', ',', 'country', ',', 'age', 'from', 'singer', 'order', 'by', 'age', 'desc']","['What', 'are', 'the', 'names', ',', 'countries', ',', 'and', 'ages', 'for', 'every', 'singer', 'in', 'descending', 'order', 'of', 'age', '?']",,"What are the names, country, and ages for every singer in descending order of age?",False,False,0,0
concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age of all singers from France?","['SELECT', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'FROM', 'singer', 'WHERE', 'country', '=', ""'France"", ""'""]","['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","['What', 'is', 'the', 'average', ',', 'minimum', ',', 'and', 'maximum', 'age', 'of', 'all', 'singers', 'from', 'France', '?']","singer(name, country, age) Question: What is the average, minimum, and maximum age of all singers from France?",What is the average age of all singers from France?,False,False,0,0
concert_singer,"SELECT avg(age) ,  min(age) ,  max(age) FROM singer WHERE country  =  'France'","What is the average, minimum, and maximum age for all French singers?","['SELECT', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'FROM', 'singer', 'WHERE', 'country', '=', ""'France"", ""'""]","['select', 'avg', '(', 'age', ')', ',', 'min', '(', 'age', ')', ',', 'max', '(', 'age', ')', 'from', 'singer', 'where', 'country', '=', 'value']","['What', 'is', 'the', 'average', ',', 'minimum', ',', 'and', 'maximum', 'age', 'for', 'all', 'French', 'singers', '?']","singer(name, country, age) Question: What is the average, minimum, and maximum age for all French singers?",What is the average age for all French singers?,False,False,0,0
concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",Show the name and the release year of the song by the youngest singer.,"['SELECT', 'song_name', ',', 'song_release_year', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'LIMIT', '1']","['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']","['Show', 'the', 'name', 'and', 'the', 'release', 'year', 'of', 'the', 'song', 'by', 'the', 'youngest', 'singer', '.']","singer(name, country, age) Question: Show the name and the release year of the song by the youngest singer.",Show the name and release year of the song by the youngest singer.,False,False,0,0
concert_singer,"SELECT song_name ,  song_release_year FROM singer ORDER BY age LIMIT 1",What are the names and release years for all the songs of the youngest singer?,"['SELECT', 'song_name', ',', 'song_release_year', 'FROM', 'singer', 'ORDER', 'BY', 'age', 'LIMIT', '1']","['select', 'song_name', ',', 'song_release_year', 'from', 'singer', 'order', 'by', 'age', 'limit', 'value']","['What', 'are', 'the', 'names', 'and', 'release', 'years', 'for', 'all', 'the', 'songs', 'of', 'the', 'youngest', 'singer', '?']","singer(name, country, age) Question: Who are the songs of the youngest singer?",What are the names and release years for all the songs of the youngest singer?,False,False,0,0
concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are all distinct countries where singers above age 20 are from?,"['SELECT', 'DISTINCT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '20']","['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']","['What', 'are', 'all', 'distinct', 'countries', 'where', 'singers', 'above', 'age', '20', 'are', 'from', '?']","singer(name, country, age) Question: What are all distinct countries where singers above age 20 are from?",What are all distinct countries where singers above age 20 are from?,False,False,0,0
concert_singer,SELECT DISTINCT country FROM singer WHERE age  >  20,What are  the different countries with singers above age 20?,"['SELECT', 'DISTINCT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '20']","['select', 'distinct', 'country', 'from', 'singer', 'where', 'age', '>', 'value']","['What', 'are', 'the', 'different', 'countries', 'with', 'singers', 'above', 'age', '20', '?']","singer(name, country, age) Question: What are the different countries with singers above age 20?",What are the different countries with singers above age 20?,False,False,0,0
concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",Show all countries and the number of singers in each country.,"['SELECT', 'country', ',', 'count', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'country']","['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']","['Show', 'all', 'countries', 'and', 'the', 'number', 'of', 'singers', 'in', 'each', 'country', '.']","singer(name, country, age) Question: Show all countries and the number of singers in each country.",Show all countries and the number of singers in each country.,False,False,0,0
concert_singer,"SELECT country ,  count(*) FROM singer GROUP BY country",How many singers are from each country?,"['SELECT', 'country', ',', 'count', '(', '*', ')', 'FROM', 'singer', 'GROUP', 'BY', 'country']","['select', 'country', ',', 'count', '(', '*', ')', 'from', 'singer', 'group', 'by', 'country']","['How', 'many', 'singers', 'are', 'from', 'each', 'country', '?']","singer(name, country, age) Question: How many singers are from each country?",How many singers are from each country?,False,False,0,0
concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),List all song names by singers above the average age.,"['SELECT', 'song_name', 'FROM', 'singer', 'WHERE', 'age', '>', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'singer', ')']","['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']","['List', 'all', 'song', 'names', 'by', 'singers', 'above', 'the', 'average', 'age', '.']","singer(name, country, age) Question: List all song names by singers above the average age.",List all song names by singers above the average age,False,False,0,0
concert_singer,SELECT song_name FROM singer WHERE age  >  (SELECT avg(age) FROM singer),What are all the song names by singers who are older than average?,"['SELECT', 'song_name', 'FROM', 'singer', 'WHERE', 'age', '>', '(', 'SELECT', 'avg', '(', 'age', ')', 'FROM', 'singer', ')']","['select', 'song_name', 'from', 'singer', 'where', 'age', '>', '(', 'select', 'avg', '(', 'age', ')', 'from', 'singer', ')']","['What', 'are', 'all', 'the', 'song', 'names', 'by', 'singers', 'who', 'are', 'older', 'than', 'average', '?']","singer(name, country, age) Question: What are all the song names by singers who are older than average?",What are all the song names by singers who are older than average?,False,False,0,0
concert_singer,SELECT country FROM singer WHERE age  >  40 INTERSECT SELECT country FROM singer WHERE age  <  30,Show countries where a singer above age 40 and a singer below 30 are from.,"['SELECT', 'country', 'FROM', 'singer', 'WHERE', 'age', '>', '40', 'INTERSECT', 'SELECT', 'country', 'FROM', 'singer', 'WHERE', 'age', '<', '30']","['select', 'country', 'from', 'singer', 'where', 'age', '>', 'value', 'intersect', 'select', 'country', 'from', 'singer', 'where', 'age', '<', 'value']","['Show', 'countries', 'where', 'a', 'singer', 'above', 'age', '40', 'and', 'a', 'singer', 'below', '30', 'are', 'from', '.']","singer(name, country, age) Question: Show countries where a singer above age 40 and a singer below 30 are from.",Show country where a singer below 30 is from and a singer below 30 is from.,False,False,0,0
